Original_Name,New_Name,Duplicate,Read_Number,Concentration,Cruise,Use,Sed_or_Mus,Type,Depth_in_Meters,Lake,Month_Collected,Mussel_Classification ,Mass_of_Mussel,Mussel_Density,Sediment_Type,GPS_N _degrees,GPS_N _minutes,GPS_W_degrees,GPS_W_minutes
Q08.M1.S,Q08.M1.S,Q08.M.S,5759,1.27,Survey,Sample,Mussel,Mussel Shell,45,Michigan,July,Medium,0.4,Few,silt over sandy silt,44,81.667,-86,18.45
Q08.M2.S,Q08.M2.S,Q08.M.S,13087,1.69,Survey,Sample,Mussel,Mussel Shell,45,Michigan,July,Small,0.2,Few,silt over sandy silt,44,81.667,-86,18.45
Q09.L1.S,Q09.L1.S,Q09.L.S,3290,5.7,Survey,Sample,Mussel,Mussel Shell,45,Michigan,July,Medium,0.3,Many,silty sand,45,44.567,-85,22.183
Q09.L2.S,Q09.L2.S,Q09.L.S,4054,25.94,Survey,Sample,Mussel,Mussel Shell,45,Michigan,July,Medium,0.3,Many,silty sand,45,44.567,-85,22.183
Q09.M1.S,Q09.M1.S,Q09.M.S,4593,10.81,Survey,Sample,Mussel,Mussel Shell,45,Michigan,July,Small,0.2,Many,silty sand,45,44.567,-85,22.183
Q09.M2.S,Q09.M2.S,Q09.M.S,4368,1.19,Survey,Sample,Mussel,Mussel Shell,45,Michigan,July,Small,0.2,Many,silty sand,45,44.567,-85,22.183
Q09.S1.S,Q09.S1.S,Q09.S.S,6717,1.08,Survey,Sample,Mussel,Mussel Shell,45,Michigan,July,Small,0.1,Many,silty sand,45,44.567,-85,22.183
Q09.S2.S,Q09.S2.S,Q09.S.S,5775,2.65,Survey,Sample,Mussel,Mussel Shell,45,Michigan,July,Small,0.1,Many,silty sand,45,44.567,-85,22.183
Q11.L2.S,Q11.L2.S,Q11.L.S,7239,2.43,Survey,Sample,Mussel,Mussel Shell,45,Michigan,July,Large,0.5,Many,silty sand,44,41.3,-86,33.95
Q11.M1.S,Q11.M1.S,Q11.M.S,7867,1.37,Survey,Sample,Mussel,Mussel Shell,45,Michigan,July,Large,0.6,Many,silty sand,44,41.3,-86,33.95
Q11.M2.S,Q11.M2.S,Q11.M.S,17712,1.73,Survey,Sample,Mussel,Mussel Shell,45,Michigan,July,Medium,0.4,Many,silty sand,44,41.3,-86,33.95
Q11.S1.S,Q11.S1.S,Q11.S.S,12902,2.02,Survey,Sample,Mussel,Mussel Shell,45,Michigan,July,Medium,0.4,Many,silty sand,44,41.3,-86,33.95
Q11.S2.S,Q11.S2.S,Q11.S.S,1802,0.77,Survey,Sample,Mussel,Mussel Shell,45,Michigan,July,Medium,0.3,Many,silty sand,44,41.3,-86,33.95
Q05.L1.T,Q05.L1.T,Q05.L.T,2276,22.75,Survey,Sample,Mussel,Mussel Tissue,45,Michigan,July,Large,0.5,Few-Moderate,soft silt,43,44.7,-87,76.983
Q05.L2.T,Q05.L2.T,Q05.L.T,209.1,56.98,Survey,Sample,Mussel,Mussel Tissue,45,Michigan,July,Medium,0.3,Few-Moderate,soft silt,43,44.7,-87,76.983
Q05.M1.T,Q05.M1.T,Q05.M.T,1005,7.06,Survey,Sample,Mussel,Mussel Tissue,45,Michigan,July,Medium,0.3,Few-Moderate,soft silt,43,44.7,-87,76.983
Q05.M2.T,Q05.M2.T,Q05.M.T,6628,0.76,Survey,Sample,Mussel,Mussel Tissue,45,Michigan,July,Small,0.2,Few-Moderate,soft silt,43,44.7,-87,76.983
Q05.S1.T,Q05.S1.T,Q05.S.T,1826,4.77,Survey,Sample,Mussel,Mussel Tissue,45,Michigan,July,Small,0.1,Few-Moderate,soft silt,43,44.7,-87,76.983
Q05.S1.T2,Q08.S1.T,Q08.S.T,651.5,26.62,Survey,Sample,Mussel,Mussel Tissue,45,Michigan,July,Small,0.1,Few,silt over sandy silt,44,81.667,-86,18.45
Q05.S2.T,Q05.S2.T,Q05.S.T,64.35,2.25,Survey,Sample,Mussel,Mussel Tissue,45,Michigan,July,Small,0.1,Few-Moderate,soft silt,43,44.7,-87,76.983
Q05.S2.T2,Q08.S2.T,Q08.S.T,11141,11.14,Survey,Sample,Mussel,Mussel Tissue,45,Michigan,July,Small,<0.1,Few,silt over sandy silt,44,81.667,-86,18.45
Q08.L1.T,Q08.L1.T,Q08.L.T,6459,3.73,Survey,Sample,Mussel,Mussel Tissue,45,Michigan,July,Small,0.2,Few,silt over sandy silt,44,81.667,-86,18.45
Q08.L2.T,Q08.L2.T,Q08.L.T,16393,7.82,Survey,Sample,Mussel,Mussel Tissue,45,Michigan,July,Small,0.2,Few,silt over sandy silt,44,81.667,-86,18.45
Q08.M1.T,Q08.M1.T,Q08.M.T,3338,3.71,Survey,Sample,Mussel,Mussel Tissue,45,Michigan,July,Small,0.1,Few,silt over sandy silt,44,81.667,-86,18.45
Q08.M2.T,Q08.M2.T,Q08.M.T,2445,11.43,Survey,Sample,Mussel,Mussel Tissue,45,Michigan,July,Small,0.1,Few,silt over sandy silt,44,81.667,-86,18.45
Q09.L1.T,Q09.L1.T,Q09.L.T,1569,65,Survey,Sample,Mussel,Mussel Tissue,45,Michigan,July,Small,0.2,Many,silty sand,45,44.567,-85,22.183
Q09.L2.T,Q09.L2.T,Q09.L.T,1303,37.75,Survey,Sample,Mussel,Mussel Tissue,45,Michigan,July,Small,0.1,Many,silty sand,45,44.567,-85,22.183
Q09.M1.T,Q09.M1.T,Q09.M.T,3041,145.38,Survey,Sample,Mussel,Mussel Tissue,45,Michigan,July,Small,0.1,Many,silty sand,45,44.567,-85,22.183
Q09.M2.T,Q09.M2.T,Q09.M.T,4521,7.7,Survey,Sample,Mussel,Mussel Tissue,45,Michigan,July,Small,0.1,Many,silty sand,45,44.567,-85,22.183
Q09.S1.T,Q09.S1.T,Q09.S.T,3756,11.49,Survey,Sample,Mussel,Mussel Tissue,45,Michigan,July,Small,0.1,Many,silty sand,45,44.567,-85,22.183
Q09.S2.T,Q09.S2.T,Q09.S.T,,21.24,Survey,Sample,Mussel,Mussel Tissue,45,Michigan,July,Small,<0.1,Many,silty sand,45,44.567,-85,22.183
Q11.L2.T,Q11.L2.T,Q11.L.T,7802,36.82,Survey,Sample,Mussel,Mussel Tissue,45,Michigan,July,Small,0.2,Many,silty sand,44,41.3,-86,33.95
Q11.M1.T,Q11.M1.T,Q11.M.T,4947,10.41,Survey,Sample,Mussel,Mussel Tissue,45,Michigan,July,Small,0.1,Many,silty sand,44,41.3,-86,33.95
Q11.M2.T,Q11.M2.T,Q11.M.T,10377,14.22,Survey,Sample,Mussel,Mussel Tissue,45,Michigan,July,Small,0.1,Many,silty sand,44,41.3,-86,33.95
Q11.S1.T,Q11.S1.T,Q11.S.T,7931,19.44,Survey,Sample,Mussel,Mussel Tissue,45,Michigan,July,Small,<0.1,Many,silty sand,44,41.3,-86,33.95
Q11.S2.T,Q11.S2.T,Q11.S.T,2695,4.69,Survey,Sample,Mussel,Mussel Tissue,45,Michigan,July,Small,0.1,Many,silty sand,44,41.3,-86,33.95
110B1.S715,110.B1.715,110.B.715,9098,2.05,Transect,Sample,Sediment,Sediment,110,Michigan,July,,,,black mud,43,12.044,86,33.951
110B2.S715,110.B2.714,110.B.714,9564,4.81,Transect,Sample,Sediment,Sediment,110,Michigan,July,,,,black mud,43,12.044,86,33.951
M15B1.S715,M15.B1.715,M15.B.715,466.5,0.7,Transect,Sample,Sediment,Sediment,15,Michigan,July,,,,sand,43,11.302,86,20.675
